event,op,block,cycle_from_top
matrix_start,0,18,41908
matrix_done,1,16,41908
vpu_start,2,17,41909
matrix_done,0,18,42736
vpu_done,2,17,43542
matrix_start,1,17,43543
vpu_start,0,18,43544
vpu_done,0,18,43647
sfu_start,0,18,43649
sfu_done,0,18,43702
vpu_start,1,18,43704
sfu_start,1,18,43705
sfu_done,1,18,44165
vpu_done,1,18,44167
matrix_start,0,19,44371
matrix_done,1,17,44371
vpu_start,2,18,44372
matrix_done,0,19,45199
vpu_done,2,18,46005
matrix_start,1,18,46006
vpu_start,0,19,46007
vpu_done,0,19,46110
sfu_start,0,19,46112
sfu_done,0,19,46165
vpu_start,1,19,46167
sfu_start,1,19,46168
sfu_done,1,19,46628
vpu_done,1,19,46630
matrix_start,0,20,46834
matrix_done,1,18,46834
vpu_start,2,19,46835
matrix_done,0,20,47662
vpu_done,2,19,48468
matrix_start,1,19,48469
vpu_start,0,20,48470
vpu_done,0,20,48573
sfu_start,0,20,48575
sfu_done,0,20,48628
vpu_start,1,20,48630
sfu_start,1,20,48631
sfu_done,1,20,49091
vpu_done,1,20,49093
matrix_start,0,21,49297
matrix_done,1,19,49297
vpu_start,2,20,49298
matrix_done,0,21,50125
vpu_done,2,20,50931
matrix_start,1,20,50932
vpu_start,0,21,50933
vpu_done,0,21,51036
sfu_start,0,21,51038
sfu_done,0,21,51091
vpu_start,1,21,51093
sfu_start,1,21,51094
sfu_done,1,21,51554
vpu_done,1,21,51556
matrix_start,0,22,51760
matrix_done,1,20,51760
vpu_start,2,21,51761
matrix_done,0,22,52588
vpu_done,2,21,53394
matrix_start,1,21,53395
vpu_start,0,22,53396
vpu_done,0,22,53499
sfu_start,0,22,53501
sfu_done,0,22,53554
vpu_start,1,22,53556
sfu_start,1,22,53557
sfu_done,1,22,54017
vpu_done,1,22,54019
matrix_start,0,23,54223
matrix_done,1,21,54223
vpu_start,2,22,54224
matrix_done,0,23,55051
vpu_done,2,22,55857
matrix_start,1,22,55858
vpu_start,0,23,55859
vpu_done,0,23,55962
sfu_start,0,23,55964
sfu_done,0,23,56017
vpu_start,1,23,56019
